,transcriptcomponentid,transcriptid,companyid,companyname,componenttext,Rating
25178,6779241,98027,909408,The Western Union Company,"David, a couple of things. First is to invest in the business. As you summarized, CapEx will be $100 million, $150 million. Our second priority is to really invest in the business through mergers and acquisitions. We announced the Angelo Costa deal about a month ago that will be a good use of our international cash. All the time we're looking at other things out there so we want to look to acquire companies but that kind of go well with our strategy and have the right cash-on-cash economic return. And then from there, really returning cash to our shareholders. As we announced today, another $1 billion of stock buybacks. We've got about $1.4 billion through the end of 2012. Back in December, we moved to a more balanced payout on our dividend. Our Board increased that by 17%, and so as we look forward, we'll prioritize our cash that way. Probably one important thing to remind everyone too is that about half of our cash flows are U.S. About half of our cash flows are international, so we'll prioritize those as we need to move forward. But we're in the fortunate position of generating $1.2 billion to $1.3 billion of cash. Then they really allow us to drive and execute our strategies and return the capital to shareholders.",3
1358190,74963510,1908465,228294409,CURO Group Holdings Corp.,"Vince, it's Don. So as I mentioned, it's going to take us, well, I'd say, kind of a quarter and a half or so to make sure that fundamentally, that all of the engine kind of works properly. It's a good deal more complicated process to have the bank license our technologies and host those technologies and use those technologies. So it's -- we spent a lot of time, a lot of energy on it. It's been a very big -- as the developers like to say, a heavy lift from an IT standpoint. We just want to make sure all that works well. And as we get through the year, I think we'd like to -- our view is we'd like to exit the year with somewhere in the range of $50 million to $75 million of earning assets in that program. And that those are installment -- closed-end installment loans and probably be in -- we're in 2 states now and you probably -- as you're growing that business, maybe you exit the year and you're in 5 or 6 states by the time you exit the year. We've -- Stride is a really interesting, innovative, really entrepreneurial bank. We've done stuff with them on the payment side in the past. So it's a relationship we've had for a while. So we've known each other from a team standpoint for a long time. So I think from a -- I think probably, as I don't see it's sort of expanding outside of this closed-end installment product. As we look into probably -- I think that will probably, I would say, it would probably stick to the same kind of products all the way through 2021. Longer-term, it's kind of hard to speculate on what else we might be working on together because there's a lot of opportunity in some states that we don't operate in right now online to offer a really competitive installment product. So again, end the year 5 or 6 states, $50 million to $75 million of earning assets and have that kind of roll into really healthy business and a good earnings contribution in 2021.",3
1111072,63513231,1611805,24333,"Advance Auto Parts, Inc.","Well, thanks again for joining us today. We're really pleased with the traction we gained in the quarter, and we're confident in our ability to execute our strategic objectives going forward. I want to once again thank all of our dedicated team members and our independent partners for their focus on operational excellence and passion for customers every day. We remain disciplined in our approach to ensure we're implementing changes that enable the long-term success of Advance and deliver sustainable value and growth for our shareholders. We still have a lot of work to do, and we remain focused on capturing the opportunity ahead. 
 
 Before I conclude, with the celebration of Veterans Day this week, we'd like to express our sincere appreciation for all the members of our military for their service, including over 6,000 Advance team members. We're incredibly proud of the work we've done at Advance in support of our veterans. And we remain committed to continue support of organizations such as Building Homes for Heroes, who help improve the lives of our brave servicemen and women throughout the country. 
 
 We look forward to discussing our fourth quarter results and 2019 outlook with you in February.",2
267754,18278422,382630,30837,LIN Media LLC,"Right now for December, auto was plus 19. In fact in all of our categories, financial restaurants services, clinical media are all up for December which was encouraging since they had such displacement in October. They have respent their dollars towards the end of the year which gives us encouragement for the future.",2
325431,21279412,454555,867423,Lincoln National Corporation,"That's a great question. We give it a lot of thought around here. What I look at the Lincoln fact situation, we've increased pricing pretty significantly either through reducing the benefit levels or from actually increasing the charge on our riders. Collectively, we've done that over the last couple of years. We've -- sort of separate from the consumer, we've decreased commissions, we've also recently restricted add-on payments. So there's quite a bit that we've done. And I think, as you've pointed out, others have done the same thing, yet we continue to see good demand from consumers. So I don't think we've yet reached the point where the price changes the industry has been making is at a the point where consumers don't think VA is still a good product for them for part of their portfolio. How much further we can do, we can go, I think we'll just have to see. It's a combination of not just VA, but what other alternative investment opportunities are available to consumer. But so far so good. And again, at Lincoln, we're producing 20% ROEs on a consistent basis. You heard Randy talk about the hedge fund performance, and Standard & Poor's and Moody's both publicly say that Lincoln's hedge performance -- excuse me, hedge strategy and risk management is singularly the best in the industry. So we'll make adjustments as we can. It's good business and, in the right amount, we're quite happy with it.",3
400102,26491907,582944,93578,"CNO Financial Group, Inc.","Yes. I mean, it's a good question. I'll give you my perspective on it, Randy, and that is that the bond markets have a nice ability to, within reason, pierce through the actual ratings of the company to assess the credit strength of the underlying property. We actually saw that in the last recapitalization and even refinancing we did, where, clearly, I think, the pricing we received and even, to some degree, the flexibility in terms were arguably a good notch above what we are actually reported at because you see some of the bond market and the lending market react to our favorable progress. As a result, we -- it's not just a matter of when we receive investment grade because we will eventually, that we're going to ring some big bell and go to market. We're going to watch things very carefully along the way. I'm after some very simple things, and I mentioned them in my comments. One, I want to see that I have a material benefit to my cost of capital because I know there's a cost associated with recapping the company. And I want that cost recovered quickly, and I want it to lower my permanent cost of capital. So I want to watch that. The second thing is we really would benefit, as a company, for -- from greater flexibility in the structure. Things like sweeps and baskets, which actually do come into play when we're looking at opportunistically deploying capital, are things that we need to adhere to that we're not real fond of. We also have awful lot of just structure. We have -- we are in no risk of breaching covenants. We have substantial room and cushion, as you can imagine, between covenant structures. But just having a lengthy set of covenants is not a good position to be in, it's even an optically bad position to be in because it actually causes, in a circular way, the rating agencies to look at your financial flexibility as being somehow less flexible. And so with that, I'd also like to string out maturities at some degree. It's not just a matter of the fact that we have to amortize our debt, we also have some limits as to how far out we can go with our debt. So I'm constantly having to stare a few years out to a fairly large maturity, and I think you'd be very careful about that. So those are the things I'm after. If I can get those types of structural things before I reach the promised land of investment grade, then we'll do what you would expect us to do. We'll go out to market and make it happen. But right now, that's not quite the case. We still have a bit more work to do, but we'll keep watching the markets carefully.",-1
147827,13148633,263572,390225,"The Williams Companies, Inc.","Well, we haven't negotiated rates for the project. But they would be -- I would just say consistent with regulated pipeline returns.",0
1292327,72064108,1841825,331205,Reliance Steel & Aluminum Co.,"Thank you very much. We'd like to thank everyone on the call today for your continued support and commitment to Reliance. We'd also like to thank those of you who attended our Analyst and Investor Day back in September. 
For those of you who are unable to join us, an archive video webcast and a corresponding presentation can be found on the Investors section of our website at www.rsac.com. 
Lastly, I'd like to remember -- to remind you all that we'll be in New York City next month presenting at the Goldman Sachs Global Metals and Mining Conference and also at the Cowen Chemical, Metals and Mining Summit. We hope to see some of you there, and I hope you enjoy the rest of your day.",0
35755,7717608,115814,398625,"The Goldman Sachs Group, Inc.","Look, we're a participant in that market, but we're not as big a participant to some of our competitors or bigger. Credit terms have tightened. They are more borrower-friendly than they were a year ago. But there are some terms that you might think are too tight. I think one, banks are including us, are being much more careful about the terms, about the amount of leverage in deals. It's still a lot lower than we saw at some of the heights in the market. And the time to market commitment is much, much shorter than it was, which is one of the biggest mitigants for taking risk.",-1
70363,9684677,151115,514044,OfficeMax Incorporated,"Let me start, Brian. This is Bruce. So if you reflect back on what we talked about in Q1, we talked about some transitory items. Clearly those are, despite their nature, nonrecurring. We talked about supply chain deleveraging. We've seem to have gotten a better handle on that at least on the Retail side. We're still -- got significant fuel cost increases running through the P&L and in the back half, that should be on the order of about 50%. So supply chain is a continuous process of making sure that we can leverage. And then in the first quarter, we had some headwinds there. And then we talked about the promotional environment and what the promotional environment drove, including weather that forced us to make some moves in the technology category. So just refreshing on what happened in Q1 last year, I'm sorry, Q1 earlier this year and then compare that to what happened this year, this year in the second quarter, our promotional environment didn't have the same elements that we saw in the first quarter. Supply chain, in this case, was not nearly the headwind that it was in the first quarter and of course, we didn't have the transitory items. So mechanically, this quarter seems to me to reflect a little better, a little more normalized sort of approach to what Retail margins might be and I'll see if Ryan, do you want to comment?",1
512136,36114717,836193,355432,"Lithia Motors, Inc.","Yes, John. Specifically, I guess I'd say that, we did do well on the Lithia side. We were happy with the result, both top line and on the leverage perspective. But where we really saw the incremental opportunity and benefit in the quarter was, DCH lost about 1,000 basis points in SG&A to gross leverage. So they picked up a significant amount of income off of the changes that they're making with their operating team and their structure, and it's really come into the bottom line, so. At $85 million in gross profit in the quarter for DCH, obviously that has a sizable impact on the overall beat.",3
650316,44459017,1060907,25109,"Asbury Automotive Group, Inc.","I'll start off. In one of our brands, we started the quarter with some of the stores at 40% of their inventory on stop-sale. That same brand is now down to 20%. The second, if we were to look -- if we were to rank these stores, I think our second-highest brand is in the 17% range possibly, and then we're going to drop down into the low teens. But again, it's -- this is probably 3 brands where we see this issue. You're going to have to help me with the rest of the question. I missed that.",-1
828529,51740391,1279556,273861,"Elah Holdings, Inc.","Josh, maybe I'll start and Terry can echo. I think what we're just trying to be is reasonable with guidance, as we look at Europe, quarter-over-quarter, the last several quarters it's continued to outperform and we're at levels that from an EBITDA per ton standpoint that we haven't seen in 5-plus years. So we have the normal summer slowdown activity that we're sort of expecting to see out of Europe. I think we just wanted to be mindful of our commentary there. I don't think there's anything -- any dynamic in the market that is changed, that's giving us any cost for concern more just as we consider the business in the environment, one of those things where you just say can it continue to get better and better, we'd rather be a little more conservative from that side of thing. So, that's why we've got in the way we have with them again. Nothing that, I think, we've seen that directly is giving us that feel. Terry?",-1
468125,31965305,724992,262033,"Coeur Mining, Inc.","Yes. We have the capacity to mill into the 1,900 ton per day range. We do so quite often, but we'll moderate that throughput up and down based on grade. Of course, we wouldn't manage that -- we wouldn't try to mill at that rate when we get into these high-grade -- availability to higher-grade ores because you do want to maintain your recovery, not overswamp your mill out. But we have ample capacity and a lot of flexibility in what we can do with that mill.",1
488310,35895660,830360,32137,Ovintiv Exploration Inc.,"Well, the Meramec sits on top of the Woodford, separated by carbonate interval gross age. We are testing intervals throughout the Meramec section. I think we've tested like 3 different intervals within that 400- or 500-foot section, and we've continued to test the Woodford across that acreage position as well as down in the SCOOP, where we've moved out of the wet gas condensate window up into the oil window. So we're very excited about the results that we're seeing. Specific to STACK, we continue to see competitive results between the Meramec and the Woodford and it's not something that we've done at this point to go ahead and segregate. I think that we tested 3 horizons, they all work. We tested the Woodford in multiple locations, it's all working. I think we told you guys originally that we thought there would be 3 to 5 horizons to exploit, and I would say, we're well on our course. And the results we're delivering are in accordance with our plan.",3
497033,70719527,1806417,335919,"Penn National Gaming, Inc.","Steven, the only thing I would add is we're really continuing to see nice margin ramps in our new business in Ohio that helps the overall margin for the company. And I think that there is obviously still opportunity, even in some of our more mature markets, to improve as Saul mentioned in sharing of practices. And we look -- we turn over every rock. It's not just the big buckets of labor and marketing, but all the other areas, utilities and cost of goods et cetera. So we continue to challenge ourselves and continue to believe that we can hold on, if not improve upon current margins.",3
361269,24249059,529772,336241,Capital One Financial Corporation,Yes. I told you we bought about $300 million. We're not going to disclose the price but there'll be additional information in the 10-Q about our repurchase activity.,0
467925,33675602,769357,335973,Stillwater Mining Company,"We do not have a repurchase plan in place at the moment and the company considers such uses of cash on a regular basis. In terms of where -- what we need to see in terms of an IRR from a project versus buying back capital, if you recall, I said to Sam that we have a matrix of things that we look at. So one of those things is obviously just outright return, but the other one is the risk. And clearly, something that's got a 0 risk to us, such as buying back debt for instance at face value doesn't need to have a very high return to come out in front on a risk-adjusted basis. So that's why we bought the debt back in Q1 -- Q3, sorry. I think we would need to see -- again, there is no single metric we look at. The metric that we give the most weighting to is NPV-to-CapEx ratio on an after-tax basis at 8%. We really need to see that metric at least better than 0.25:1 and ideally better than 0.5:1. So you can back calculate from there what that needs to be. But projects have got to give us -- given that there's always risk in projects developing them, a project has to give us a pretty decent return for us to justify spending the money on it.",-1
1180845,68439428,1747811,355432,"Lithia Motors, Inc.","Rick, Bryan again. We are very pleased to how the progress has progressed over the first 6 months. It's neat to be able to learn how a digital company thinks and how they're so in tune with consumer behaviors and how to monetize those consumer behaviors through their technology. It's been fun to collaborate around people. The technology currently is only being utilized in a few of the stores. This is their independent channel for business and growth. It's not necessarily ours today. Someday it could become that, but for now, it's really a second distribution [ tunnel ] directly to consumers' home to be able to purchase and buy cars from them. So I think, for the time being, it is really their model. We are there to help guide them operationally and in execution more than anything.",1
752325,48655030,1182986,93538,"L3 Technologies, Inc.","Well, I didn't talk about it. If you look at our end market organic growth guidance update, we moved the U.S. government DoD from plus 1% to plus 2%. And then international, which is a much smaller part of our business, we previously expected that it would decline about 3%. Now we see it growing 1%. And there are some new business that we had in our upside category on the international side that we've been selected on, on the night vision area, and that's part of the increase in international. On the U.S. government side, we've seen some upticks in flying hours in the Vertex business and we're also seeing very strong demand for Communication Systems, specifically for UAVs and in the munition area, which our Fuzing & Ordnance business serves.",3
1335597,73882405,1886927,26893,"Conagra Brands, Inc.","Sure. On the first part, Nik, I've been saying for the better part of 5 years now that one way you can think about what we do around here is, we're perpetually reshaping our portfolio for better growth and better margins. And underneath that, we do it 3 ways: one, we invest in innovation to strengthen the brands we own; two, we acquire new brands where our playbook can easily be applied that will be additive and complementary and incremental to what we already do; and three, we will divest stuff that either doesn't fit strategically or is a chronic drag on our margin or our sales rate or it's just too resource-intensive for us to consider to be a priority. 
We've been very aggressive in doing all 3 of these things for the last 5 years. And on that third piece, with -- in terms of divestitures that help us better sculpt growth and margins, we remain very active there, including just the new news today that we intend to sell Lender's. So there's a lot of -- there's been a lot of activity there, and I don't expect that to change. Obviously, the inbound stuff is going to change because we're in the mode of deleveraging right now and that will be the case for some time. But the divestiture side, we've been active in, and we'll continue to look at our portfolio. In terms of trade efficiency and customer investment, it -- this is a space that was very Neanderthal 20 years ago and not very analytical to a space that has become much more analytical and much easier to evaluate particular activities in terms of ROI. And to enable some of that, we've made investments in technology so we can really get at the data and leverage the analytical tools that are available to us now and that is resulting in better bang for our buck. And it actually is applied not only to trade, but we also apply the similar types of advanced analytics to our A&P investments. And the whole goal of this is to identify the proverbial 50% of your marketing that people always talked about doesn't work so we can cut it and redeploy it elsewhere to be more productive for us. And we've made strong and steady progress in terms of that efficiency and effectiveness in the last several years and it continues even as we go through this year.",1
40624,7901960,118571,30396158,"Hertz Global Holdings, Inc.","I think we're seeing it across the board. Scott, go ahead",0
31944,7345628,108338,31007,Maxar Technologies Inc.,"No, very nominal. And with respect to IFRS, I think closer to the time we report, we will certainly try to set up a meeting in Toronto and present to you what the IFRS adjustments are going to be. So that is certainly now in our plans. Just one thing for Steven, the GSI, the Geospatial business revenue for the quarter was $28 million, and the earnings was $11 million.",0
609500,42769488,1014930,3004786,"Carter's, Inc.","Our objective is to achieve a 3% comp, a retail comp for each of the brands at that level. Above that level, we leverage SG&A below. We deleverage. And as we open up these OshKosh stores, keep in mind, once we open up the OshKosh stores that are attached to Carter's, and we're seeing a very good profit contribution from both brands because there's a sharing of the overhead, sharing of the real estate effort, build out effort. So that's -- the side-by-side model is much more profitable than stand-alone stores. And so we're seeing good performance with OshKosh, seeing good comps. The closer the OshKosh store is to the consumer, the better the performance. So we had positive comps for OshKosh in the second quarter from the brand stores, from the side-by-side stores. And so we're not concerned that by opening up more OshKosh stores, that will put more pressure on our goals to achieve that 14% operating margin by 2018. It actually supports it.",2
1411860,78973322,2018378,26565,"Clean Harbors, Inc.","So Larry, I'm glad to hear your voice as well. We have just competitive rates and what those rates are we -- I'd rather not give those out. We battle every day with other companies that are out there in our space, and I think we offer kind of very competitive rates.",1
431319,28880846,645436,114823784,NGL Energy Partners LP,Are you referring to just -- with the respect to the growth projects or the total business?,0
1109324,64506511,1638183,278111,Hecla Mining Company,"No, I'll just say this. It's exactly where we thought we would be. We acquired Nevada for the cash flowing potential at Fire Creek. That will start happening. And as San Sebastian will ramp up, that gives us mine life. And when we sat down with the rating agencies to let them know what we're doing with Nevada, they said, ""Well, just execute on your plans, and we'll review your credit rating in the spring."" That's what we're doing. We're executing on our plans, and we picked up Nevada a little short on development. Larry is picking up the pace. So just let us execute on our strategy, and we'll be back to the rating agencies and see where we're at in the spring. And I feel really good.",3
1449589,81522062,2077377,124423,FedEx Corporation,"Yes. I don't know whether I have anything to add to any of that. I would just say, again, I mean, the biggest driver in this business is delivery density and putting a very efficient fleet of vehicles on the street every day with the technology tools necessary to ensure we have the lowest unit cost.",1
1436916,78912827,2016915,310864,Kemper Corporation,"Yes. When you look at commercial vehicle, it's a smaller book of business. So when you try to just pick the reserves and the development on those, it just gets a tiny bit more volatile from that perspective. We've had time periods where there's been a little pressure. We've seen some favorable development there. As most of us knows -- know, actuaries are generally quick to spot trouble and react quickly, and they're a little hesitant to see favorability come through because they really want to prove it. So that just works its way out a little slower. And again, we're always making our best estimate, but anybody who spent any time working on claims knows they're more likely to get worse than they are to get better. So that just slows itself a little bit. So it's just the normal ordinary course stuff.",-2
353146,23125440,500354,610501,Spectra Energy Corp,"Yes. It's 2 elements: a, it's a provider of cash, and I think it's quite different from the ONEOK situation; and, two, the tax -- the cross-border nature of either the transaction or any piece of paper. So at this point in time, we think we've got the right structure with Union Gas. I can never say never, Josh. But again, this isn't a new idea. It's something we've looked at and the inefficiencies from a tax perspective and the strong benefits from a cash benefit to our dividend suggest this is the right structure. And that's very different from ONEOK, I think.",1
284093,19291936,408502,98873,The Hershey Company,"Well, first of all, we have in place a business model now that when we're introducing brands, we want to make sure that we fully support them on a sustainable basis as we roll them out into the market, and we're going to certainly do that with Brookside. We're very optimistic about the brand, and we do believe that while we're in the first round of expansion, that this is a brand that probably has relevance more broadly than the markets that we're currently talking about. It's also important to remember that we're expanding advertising across a number of our markets in China and Brazil and Mexico. And so as you look at the comments we made about the U.S. advertising spend and then take Brookside, which is incremental, and then think about what we're doing broadly, it all doesn't come down to being spent on Brookside. With that said, we're going to have a very aggressive position around building the Brookside brand as we expand it, creating awareness, introducing it to consumers, creating trial and so on. So again, we're going -- we're very serious about building brands and we see Brookside as an important one.",2
295244,20641066,441029,28151,TMS International Corp.,"Yes. On a percentage basis, kind of looking at growth from new contracts and growth from the Raw Materials and Optimization Group, we're issuing the guidance that we gave you on the EBITDA line. I think that the revenue guidance would be similar to that in the 5% to 10% range.",2
312265,68888421,1759191,32012,"Netflix, Inc.","Well, it's been positive. The key use case is between kids and parents. Right now, parents will say that the experience is suboptimal because the kids' viewing is all through their profile. And the kids, similarly, don't necessarily want to see what their parents are viewing. So that's the biggest use case. So it'll be really be targeted at families.",3
11985,76819600,1955817,272419,Winthrop Realty Liquidating Trust,"Technically, they're mezzanine loans but it's really treated now as equity. We only get paid our mezzanine loan interest after the cash flow from the properties, after TI, after CapEx, and only if then there's cash flow available to pay not just us but also the Marc Realty partners an equal amount. So I would also say that for the quarter, that amount, just the restructuring happened at the beginning of the quarter. So there's been a bit of the transition period. I would not use that as necessarily being representative of the quarterly amount we expect to get but that is what we received this quarter.",-1
